ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
12,5,gompertz,0.0,0.0,0.0,0.0,-0.9590980510046548,-5.502655764405239,0.036636178002599704,-254.45133341555473,-223.07746484507985,-215.90765236181414,0.9815550927499569
12,6,baranyi,0.0,0.0,0.0,0.0,-0.9625930524600357,-1.935697469966355,0.011233025947873228,-67.94676566843421,-223.50736449086585,-216.33755200760015,0.9818265403351496
12,7,buchanan,0.0,0.0,0.0,0.0,-0.9866726627752703,-3.7580033529692614,0.008559621406958045,-524.0963115483164,-187.22719730902543,-180.05738482575973,0.9365515649496804
13,1,linear,-0.18406333443304518,0.021897403014347002,0.0,0.0,0.0,0.0,0.0,0.0,202.51675415954554,204.21043997794067,-0.8413119274044918
13,2,quadratic,-0.9951103933980882,0.04319512050879233,-0.00010249185762622228,0.0,0.0,0.0,0.0,0.0,193.41062501051888,193.57363467314096,0.3739324828848253
13,3,cubic,-0.195634191947395,-0.0013393064670041905,0.00044509066571840166,-1.8041043774036956e-06,0.0,0.0,0.0,0.0,179.60433141809708,176.92714111542227,0.8780458328208185
13,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5,gompertz,0.0,0.0,0.0,0.0,3.4476544154350397,-0.05302380393105507,0.10976852396529542,42.56458136750214,191.47445314448433,188.79726284180953,0.652790230848471
13,6,baranyi,0.0,0.0,0.0,0.0,3.374768957004,-0.11564463634648343,0.09588145133834408,38.00856182398105,188.4500177041697,185.7728274014949,0.7319285646836856
13,7,buchanan,0.0,0.0,0.0,0.0,3.3723535822331785,-0.8374585206696961,0.07096935950594846,-2.478474344228143,189.51167470027903,186.83448439760423,0.707518565379783
14,1,linear,-0.5725805209851582,0.023575328534432227,0.0,0.0,0.0,0.0,0.0,0.0,151.27800295533993,152.47147252003634,-0.22878816377712496
14,2,quadratic,-1.3344229143762187,0.04388277855953604,-0.00010650546606939065,0.0,0.0,0.0,0.0,0.0,139.81803839120124,139.02837876317741,0.7413813688963309
14,3,cubic,0.2097379719251845,-0.029377660145561115,0.0008037113348671125,-3.218430688191143e-06,0.0,0.0,0.0,0.0,142.7784952227032,138.29142068767345,0.8076185056919916
14,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,5,gompertz,0.0,0.0,0.0,0.0,2.919282400137321,-0.016074599669886006,0.11203147449745356,49.964112973593295,118.76575442699436,114.2786798919646,0.9825489830520212
14,6,baranyi,0.0,0.0,0.0,0.0,2.845347947544803,-0.07924336526501108,0.10436243273412045,48.05941613763147,124.5767983318054,120.08972379677564,0.9687921173298674
14,7,buchanan,0.0,0.0,0.0,0.0,2.8545835423876453,0.008252704026838469,0.08575798458615892,44.211681469491175,126.61340900986585,122.12633447483609,0.9617274601142205
15,1,linear,-0.14269092858409607,0.01724544229851501,0.0,0.0,0.0,0.0,0.0,0.0,170.64469764328587,172.76608425931653,-0.525375110838131
15,2,quadratic,-1.4660618422304774,0.049530264701805674,-0.00015014785706094776,0.0,0.0,0.0,0.0,0.0,126.88539737348863,127.82502397264064,0.9627020833047997
15,3,cubic,-0.846147395699652,0.023896552435277454,0.00013042928449484052,-8.719279773317985e-07,0.0,0.0,0.0,0.0,139.60074124590716,138.31098878056144,0.9270500106488605
15,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5,gompertz,0.0,0.0,0.0,0.0,2.5828317276724846,-0.01577218217220949,0.09809401925561144,42.110618790145566,141.33125942589982,140.0415069605541,0.9160353292720134
15,6,baranyi,0.0,0.0,0.0,0.0,2.5410224213743704,-0.15319770872747074,0.09240748048363574,38.50946198093426,141.45213383952083,140.1623813741751,0.9151050826706874
15,7,buchanan,0.0,0.0,0.0,0.0,2.5576606341615973,-0.43581898946043696,0.06609875096918309,15.53511132312629,139.1794572228893,137.88970475754357,0.9296159009648629
16,1,linear,-0.32255090441635414,0.0418207154698324,0.0,0.0,0.0,0.0,0.0,0.0,158.4856853855684,159.07735911757703,0.3663181045554619
16,2,quadratic,-0.9016150724855286,0.0683667382708827,-0.00022852855586356837,0.0,0.0,0.0,0.0,0.0,151.5839748818682,149.57287319121306,0.8274066891484453
16,3,cubic,0.1260396356734903,-0.013108775756771029,0.001440181123520568,-9.568791534387317e-06,0.0,0.0,0.0,0.0,144.13753536551462,137.12365825219572,0.9660828865995419
16,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5,gompertz,0.0,0.0,0.0,0.0,3.7189283797257975,0.18700681118150728,0.15875278349943353,23.67919273767452,114.81944526196261,107.80556814864372,0.9986947774033362
16,6,baranyi,0.0,0.0,0.0,0.0,139.17377116288657,-0.5613042472246337,0.09495977838837003,-6.825995178567622,170.30377115290776,163.28989403958886,0.379052606364616
16,7,buchanan,0.0,0.0,0.0,0.0,3.59306406008946,0.25514128846687817,0.12207362119363138,20.260759973251826,148.96631732240226,141.95244020908336,0.942115991807321
17,1,linear,-0.4033832794211597,0.040393201482556575,0.0,0.0,0.0,0.0,0.0,0.0,154.05954715600885,154.65122088801752,-1.4635926209477494
